REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD008,2019,1600.0
Cuba,PWRCRUD008,2020,1600.0
Cuba,PWRCRUD008,2021,1600.0
Cuba,PWRCRUD008,2022,1600.0
Cuba,PWRCRUD008,2023,1600.0
Cuba,PWRCRUD008,2024,1600.0
Cuba,PWRCRUD008,2025,1600.0
Cuba,PWRCRUD008,2026,1600.0
Cuba,PWRCRUD008,2027,1600.0
Cuba,PWRCRUD008,2028,1600.0
Cuba,PWRCRUD008,2029,1600.0
Cuba,PWRCRUD008,2030,1600.0
Cuba,PWRCRUD008,2031,1600.0
Cuba,PWRCRUD008,2032,1600.0
Cuba,PWRCRUD008,2033,1600.0
Cuba,PWRCRUD008,2034,1600.0
Cuba,PWRCRUD008,2035,1600.0
Cuba,PWRCRUD008,2036,1600.0
Cuba,PWRCRUD008,2037,1600.0
Cuba,PWRCRUD008,2038,1600.0
Cuba,PWRCRUD008,2039,1600.0
Cuba,PWRCRUD008,2040,1600.0
Cuba,PWRCRUD008,2041,1600.0
Cuba,PWRCRUD008,2042,1600.0
Cuba,PWRCRUD008,2043,1600.0
Cuba,PWRCRUD008,2044,1600.0
Cuba,PWRCRUD008,2045,1600.0
Cuba,PWRCRUD008,2046,1600.0
Cuba,PWRCRUD008,2047,1600.0
Cuba,PWRCRUD008,2048,1600.0
Cuba,PWRCRUD008,2049,1600.0
Cuba,PWRCRUD008,2050,1600.0
Cuba,PWRBIO,2019,2200.0
Cuba,PWRBIO,2020,2200.0
Cuba,PWRBIO,2021,2200.0
Cuba,PWRBIO,2022,2200.0
Cuba,PWRBIO,2023,2200.0
Cuba,PWRBIO,2024,2200.0
Cuba,PWRBIO,2025,2200.0
Cuba,PWRBIO,2026,2200.0
Cuba,PWRBIO,2027,2200.0
Cuba,PWRBIO,2028,2200.0
Cuba,PWRBIO,2029,2200.0
Cuba,PWRBIO,2030,2200.0
Cuba,PWRBIO,2031,2200.0
Cuba,PWRBIO,2032,2200.0
Cuba,PWRBIO,2033,2200.0
Cuba,PWRBIO,2034,2200.0
Cuba,PWRBIO,2035,2200.0
Cuba,PWRBIO,2036,2200.0
Cuba,PWRBIO,2037,2200.0
Cuba,PWRBIO,2038,2200.0
Cuba,PWRBIO,2039,2200.0
Cuba,PWRBIO,2040,2200.0
Cuba,PWRBIO,2041,2200.0
Cuba,PWRBIO,2042,2200.0
Cuba,PWRBIO,2043,2200.0
Cuba,PWRBIO,2044,2200.0
Cuba,PWRBIO,2045,2200.0
Cuba,PWRBIO,2046,2200.0
Cuba,PWRBIO,2047,2200.0
Cuba,PWRBIO,2048,2200.0
Cuba,PWRBIO,2049,2200.0
Cuba,PWRBIO,2050,2200.0
Cuba,PWRWND001,2019,1588.0
Cuba,PWRWND001,2020,1581.0
Cuba,PWRWND001,2021,1573.0
Cuba,PWRWND001,2022,1566.0
Cuba,PWRWND001,2023,1558.0
Cuba,PWRWND001,2024,1551.0
Cuba,PWRWND001,2025,1543.0
Cuba,PWRWND001,2026,1536.0
Cuba,PWRWND001,2027,1528.0
Cuba,PWRWND001,2028,1521.0
