REGION,TECHNOLOGY,YEAR,value
Cuba,MINCRUDE,2019,160.0
Cuba,MINCRUDE,2020,160.0
Cuba,MINCRUDE,2021,160.0
Cuba,MINCRUDE,2022,160.0
Cuba,MINCRUDE,2023,160.0
Cuba,MINCRUDE,2024,160.0
Cuba,MINCRUDE,2025,160.0
Cuba,MINCRUDE,2026,160.0
Cuba,MINCRUDE,2027,160.0
Cuba,MINCRUDE,2028,160.0
Cuba,MINCRUDE,2029,160.0
Cuba,MINCRUDE,2030,160.0
Cuba,MINCRUDE,2031,160.0
Cuba,MINCRUDE,2032,160.0
Cuba,MINCRUDE,2033,160.0
Cuba,MINCRUDE,2034,160.0
Cuba,MINCRUDE,2035,160.0
Cuba,MINCRUDE,2036,160.0
Cuba,MINCRUDE,2037,160.0
Cuba,MINCRUDE,2038,160.0
Cuba,MINCRUDE,2039,160.0
Cuba,MINCRUDE,2040,160.0
Cuba,MINCRUDE,2041,160.0
Cuba,MINCRUDE,2042,160.0
Cuba,MINCRUDE,2043,160.0
Cuba,MINCRUDE,2044,160.0
Cuba,MINCRUDE,2045,160.0
Cuba,MINCRUDE,2046,160.0
Cuba,MINCRUDE,2047,160.0
Cuba,MINCRUDE,2048,160.0
Cuba,MINCRUDE,2049,160.0
Cuba,MINCRUDE,2050,160.0
Cuba,MINDIESEL,2019,28.0
Cuba,MINDIESEL,2020,28.0
Cuba,MINDIESEL,2021,28.0
Cuba,MINDIESEL,2022,28.0
Cuba,MINDIESEL,2023,28.0
Cuba,MINDIESEL,2024,28.0
Cuba,MINDIESEL,2025,28.0
Cuba,MINDIESEL,2026,28.0
Cuba,MINDIESEL,2027,28.0
Cuba,MINDIESEL,2028,28.0
Cuba,MINDIESEL,2029,28.0
Cuba,MINDIESEL,2030,28.0
Cuba,MINDIESEL,2031,28.0
Cuba,MINDIESEL,2032,28.0
Cuba,MINDIESEL,2033,28.0
Cuba,MINDIESEL,2034,28.0
Cuba,MINDIESEL,2035,28.0
Cuba,MINDIESEL,2036,28.0
Cuba,MINDIESEL,2037,28.0
Cuba,MINDIESEL,2038,28.0
Cuba,MINDIESEL,2039,28.0
Cuba,MINDIESEL,2040,28.0
Cuba,MINDIESEL,2041,28.0
Cuba,MINDIESEL,2042,28.0
Cuba,MINDIESEL,2043,28.0
Cuba,MINDIESEL,2044,28.0
Cuba,MINDIESEL,2045,28.0
Cuba,MINDIESEL,2046,28.0
Cuba,MINDIESEL,2047,28.0
Cuba,MINDIESEL,2048,28.0
Cuba,MINDIESEL,2049,28.0
Cuba,MINDIESEL,2050,28.0
Cuba,MINNG,2019,17.672
Cuba,MINNG,2020,17.672
Cuba,MINNG,2021,17.672
Cuba,MINNG,2022,17.672
Cuba,MINNG,2023,17.672
Cuba,MINNG,2024,17.672
Cuba,MINNG,2025,17.672
Cuba,MINNG,2026,17.672
Cuba,MINNG,2027,17.672
Cuba,MINNG,2028,17.672
Cuba,MINNG,2029,17.672
Cuba,MINNG,2030,17.672
Cuba,MINNG,2031,17.672
Cuba,MINNG,2032,17.672
Cuba,MINNG,2033,17.672
Cuba,MINNG,2034,17.672
Cuba,MINNG,2035,17.672
Cuba,MINNG,2036,17.672
Cuba,MINNG,2037,17.672
Cuba,MINNG,2038,17.672
Cuba,MINNG,2039,17.672
Cuba,MINNG,2040,17.672
Cuba,MINNG,2041,17.672
Cuba,MINNG,2042,17.672
Cuba,MINNG,2043,17.672
Cuba,MINNG,2044,17.672
Cuba,MINNG,2045,17.672
Cuba,MINNG,2046,17.672
Cuba,MINNG,2047,17.672
Cuba,MINNG,2048,17.672
Cuba,MINNG,2049,17.672
Cuba,MINNG,2050,17.672
Cuba,MINBIO1,2019,56.76
Cuba,MINBIO1,2020,56.76
Cuba,MINBIO1,2021,56.76
Cuba,MINBIO1,2022,56.76
Cuba,MINBIO1,2023,56.76
Cuba,MINBIO1,2024,56.76
Cuba,MINBIO1,2025,56.76
Cuba,MINBIO1,2026,56.76
Cuba,MINBIO1,2027,56.76
Cuba,MINBIO1,2028,56.76
Cuba,MINBIO1,2029,56.76
Cuba,MINBIO1,2030,56.76
Cuba,MINBIO1,2031,56.76
Cuba,MINBIO1,2032,56.76
Cuba,MINBIO1,2033,56.76
Cuba,MINBIO1,2034,56.76
Cuba,MINBIO1,2035,56.76
Cuba,MINBIO1,2036,56.76
Cuba,MINBIO1,2037,56.76
Cuba,MINBIO1,2038,56.76
Cuba,MINBIO1,2039,56.76
Cuba,MINBIO1,2040,56.76
Cuba,MINBIO1,2041,56.76
Cuba,MINBIO1,2042,56.76
Cuba,MINBIO1,2043,56.76
Cuba,MINBIO1,2044,56.76
Cuba,MINBIO1,2045,56.76
Cuba,MINBIO1,2046,56.76
Cuba,MINBIO1,2047,56.76
Cuba,MINBIO1,2048,56.76
Cuba,MINBIO1,2049,56.76
Cuba,MINBIO1,2050,56.76
Cuba,MINBIO2,2019,0.0
Cuba,MINBIO2,2020,0.0
Cuba,MINBIO2,2021,0.0
Cuba,MINBIO2,2022,0.0
Cuba,MINBIO2,2023,0.0
Cuba,MINBIO2,2024,0.0
Cuba,MINBIO2,2025,0.0
Cuba,MINBIO2,2026,0.0
Cuba,MINBIO2,2027,0.0
Cuba,MINBIO2,2028,0.0
Cuba,MINBIO2,2029,0.0
Cuba,MINBIO2,2030,0.0
Cuba,MINBIO2,2031,0.0
Cuba,MINBIO2,2032,0.0
Cuba,MINBIO2,2033,0.0
Cuba,MINBIO2,2034,0.0
Cuba,MINBIO2,2035,0.0
Cuba,MINBIO2,2036,0.0
Cuba,MINBIO2,2037,0.0
Cuba,MINBIO2,2038,0.0
Cuba,MINBIO2,2039,0.0
Cuba,MINBIO2,2040,0.0
Cuba,MINBIO2,2041,0.0
Cuba,MINBIO2,2042,0.0
Cuba,MINBIO2,2043,0.0
Cuba,MINBIO2,2044,0.0
Cuba,MINBIO2,2045,0.0
Cuba,MINBIO2,2046,0.0
Cuba,MINBIO2,2047,0.0
Cuba,MINBIO2,2048,0.0
Cuba,MINBIO2,2049,0.0
Cuba,MINBIO2,2050,0.0
Cuba,PWRWND001,2019,8.0
Cuba,PWRWND001,2020,8.0
Cuba,PWRWND001,2021,8.0
Cuba,PWRWND001,2022,8.0
Cuba,PWRWND001,2023,8.0
Cuba,PWRWND001,2024,8.0
Cuba,PWRWND001,2025,8.0
Cuba,PWRWND001,2026,8.0
Cuba,PWRWND001,2027,8.0
Cuba,PWRWND001,2028,8.0
Cuba,PWRWND001,2029,8.0
Cuba,PWRWND001,2030,8.0
Cuba,PWRWND001,2031,8.0
Cuba,PWRWND001,2032,8.0
Cuba,PWRWND001,2033,8.0
Cuba,PWRWND001,2034,8.0
Cuba,PWRWND001,2035,8.0
Cuba,PWRWND001,2036,8.0
Cuba,PWRWND001,2037,8.0
Cuba,PWRWND001,2038,8.0
Cuba,PWRWND001,2039,8.0
Cuba,PWRWND001,2040,8.0
Cuba,PWRWND001,2041,8.0
Cuba,PWRWND001,2042,8.0
Cuba,PWRWND001,2043,8.0
Cuba,PWRWND001,2044,8.0
Cuba,PWRWND001,2045,8.0
Cuba,PWRWND001,2046,8.0
Cuba,PWRWND001,2047,8.0
Cuba,PWRWND001,2048,8.0
Cuba,PWRWND001,2049,8.0
Cuba,PWRWND001,2050,8.0
Cuba,PWRPV01,2019,12.0
Cuba,PWRPV01,2020,12.0
Cuba,PWRPV01,2021,12.0
Cuba,PWRPV01,2022,12.0
Cuba,PWRPV01,2023,12.0
Cuba,PWRPV01,2024,12.0
Cuba,PWRPV01,2025,12.0
Cuba,PWRPV01,2026,12.0
Cuba,PWRPV01,2027,12.0
Cuba,PWRPV01,2028,12.0
Cuba,PWRPV01,2029,12.0
Cuba,PWRPV01,2030,12.0
Cuba,PWRPV01,2031,12.0
Cuba,PWRPV01,2032,12.0
Cuba,PWRPV01,2033,12.0
Cuba,PWRPV01,2034,12.0
Cuba,PWRPV01,2035,12.0
Cuba,PWRPV01,2036,12.0
Cuba,PWRPV01,2037,12.0
Cuba,PWRPV01,2038,12.0
Cuba,PWRPV01,2039,12.0
Cuba,PWRPV01,2040,12.0
Cuba,PWRPV01,2041,12.0
Cuba,PWRPV01,2042,12.0
Cuba,PWRPV01,2043,12.0
Cuba,PWRPV01,2044,12.0
Cuba,PWRPV01,2045,12.0
Cuba,PWRPV01,2046,12.0
Cuba,PWRPV01,2047,12.0
Cuba,PWRPV01,2048,12.0
Cuba,PWRPV01,2049,12.0
Cuba,PWRPV01,2050,12.0
